id,peak_id,Chr,Start,End,Strand,Length,PCF_logFC,BSF_logFC,logCPM,mean_bsf_b,mean_bsf_g,mean_pcf_b,mean_pcf_g,closest_genome,closest_gene,closest_orient
1933,NA_peak_1934,Tb927_05_v5.1,460074,460851,.,778,-1.386,-0.957,3.716,2.745,10.905,13.289,10.506,Tb927.5.1200,Tb927.5.1200,+
1934,NA_peak_1935,Tb927_05_v5.1,461943,462930,.,988,8.007,4.467,5.868,114.325,10.905,12.736,0.108,Tb927.5.1210,Tb927.5.1210,+
1935,NA_peak_1936,Tb927_05_v5.1,466174,467762,.,1589,1.562,2.361,7.049,195.122,84.152,110.32,53.488,Tb927.5.1230,Tb927.5.1230,+
1936,NA_peak_1937,Tb927_05_v5.1,468808,470507,.,1700,0.521,-1.928,6.161,11.148,81.453,134.367,91.108,Tb927.5.1240,Tb927.5.1240,+
1937,NA_peak_1938,Tb927_05_v5.1,473253,474206,.,954,-0.963,5.243,6.613,225.561,14.026,0.071,0.147,Tb927.5.1260,Tb927.5.1260,+
1938,NA_peak_1939,Tb927_05_v5.1,476577,478735,.,2159,1.888,0.873,8.158,310.474,295.82,401.528,96.027,Tb927.5.1270,Tb927.5.1270,+
1939,NA_peak_1940,Tb927_05_v5.1,479824,480153,.,330,1.093,-1.599,4.241,4.666,26.14,37.134,21.706,Tb927.5.1290,Tb927.5.1290,+
1940,NA_peak_1941,Tb927_05_v5.1,484239,486390,.,2152,-1.409,5.052,8.367,652.742,40.414,69.043,57.527,Tb927.5.1310,Tb927.5.1310,+
1941,NA_peak_1942,Tb927_05_v5.1,489834,490791,.,958,2.516,6.593,8.987,1200.503,9.947,16.918,4.905,Tb927.5.1320,Tb927.5.1320,+
1942,NA_peak_1943,Tb927_05_v5.1,496485,496997,.,513,2.184,3.387,5.138,82.484,6.024,16.01,3.413,Tb927.5.1350,Tb927.5.1350,+
1943,NA_peak_1944,Tb927_05_v5.1,499599,500463,.,865,0.861,0.626,7.945,53.323,94.522,694.582,396.149,Tb927.5.1360,Tb927.5.1360,+
1944,NA_peak_1945,Tb927_05_v5.1,500572,501250,.,679,1.263,-0.035,6.119,74.386,132.189,44.713,17.888,Tb927.5.1370,Tb927.5.1370,+
1945,NA_peak_1946,Tb927_05_v5.1,505171,505798,.,628,-0.288,-3.124,5.221,2.47,44.138,67.52,77.509,Tb927.5.1390,Tb927.5.1390,-
1946,NA_peak_1947,Tb927_05_v5.1,506864,507571,.,708,-1.835,-4.444,5.706,1.784,87.363,14.189,123.196,Tb927.5.1390,Tb927.5.1390,-
1947,NA_peak_1948,Tb927_05_v5.1,508960,509518,.,559,0.821,-3.88,4.932,3.431,23.507,10.149,15.545,Tb927.5.1410,Tb927.5.1410,-
1948,NA_peak_1949,Tb927_05_v5.1,510224,510689,.,466,-2.109,-3.635,4.734,2.066,46.75,7.233,59.858,Tb927.5.1420,Tb927.5.1420,-
1949,NA_peak_1950,Tb927_05_v5.1,511262,511599,.,338,-0.221,-3.225,4.428,1.029,27.637,38.129,39.277,Tb927.5.1430,Tb927.5.1430,-
1950,NA_peak_1951,Tb927_05_v5.1,513757,516525,.,2769,-4.138,-2.372,6.806,19.263,246.356,12.972,225.914,Tb927.5.1440,Tb927.5.1440,-
1951,NA_peak_1952,Tb927_05_v5.1,520362,523799,.,3438,0.95,2.571,8.87,600.307,204.337,438.379,252.882,Tb927.5.1460,Tb927.5.1460,-
1952,NA_peak_1953,Tb927_05_v5.1,529247,530337,.,1091,0.386,-4.686,5.767,2.134,133.647,57.713,48.2,Tb927.5.1490,Tb927.5.1490,-
1953,NA_peak_1954,Tb927_05_v5.1,530919,533280,.,2362,-0.729,-0.387,7.678,71.847,208.389,183.872,367.217,Tb927.5.1490,Tb927.5.1490,-
1954,NA_peak_1955,Tb927_05_v5.1,534978,536148,.,1171,-0.889,1.626,6.667,114.63,82.506,26.267,132.223,Tb927.5.1510,Tb927.5.1510,-
1955,NA_peak_1956,Tb927_05_v5.1,539786,540584,.,799,1.278,-4.437,5.624,2.196,138.93,65.963,26.788,Tb927.5.1530,Tb927.5.1530,-
1956,NA_peak_1957,Tb927_05_v5.1,540943,541921,.,979,-0.199,-1.827,5.806,2.814,38.626,99.221,70.295,Tb927.5.1530,Tb927.5.1530,-
1957,NA_peak_1958,Tb927_05_v5.1,542077,543174,.,1098,0.522,-3.765,5.918,1.6,121.95,80.441,68.203,Tb927.5.1540,Tb927.5.1540,-
1958,NA_peak_1959,Tb927_05_v5.1,543411,545285,.,1875,0.297,0.967,7.506,42.833,39.817,424.298,281.83,Tb927.5.1540,Tb927.5.1540,-
1959,NA_peak_1960,Tb927_05_v5.1,548752,549825,.,1074,0.03,2.46,5.911,80.837,28.769,63.054,40.71,Tb927.5.1570,Tb927.5.1570,-
1960,NA_peak_1961,Tb927_05_v5.1,550072,552087,.,2016,0.028,-4.228,7.083,3.157,134.353,253.733,220.877,Tb927.5.1570,Tb927.5.1570,-
1961,NA_peak_1962,Tb927_05_v5.1,552688,553386,.,699,-1.425,-1.243,5.005,13.313,75.251,11.558,27.375,Tb927.5.1580,Tb927.5.1580,-
1962,NA_peak_1963,Tb927_05_v5.1,556954,558634,.,1681,0.102,-3.285,6.521,6.931,143.593,133.372,108.268,Tb927.5.1580,Tb927.5.1580,-
1963,NA_peak_1964,Tb927_05_v5.1,566598,567781,.,1184,1.337,0.138,6.371,16.812,19.714,262.086,111.665,Tb927.5.1600,Tb927.5.1600,+
1964,NA_peak_1965,Tb927_05_v5.1,568456,569965,.,1510,0.937,0.151,6.306,36.576,55.664,174.246,68.959,Tb927.5.1610,Tb927.5.1610,+
1965,NA_peak_1966,Tb927_05_v5.1,574325,575178,.,854,2.333,6.412,8.902,565.79,0.73,1097.841,289.044,Tb927.5.1650,Tb927.5.1650,+
1966,NA_peak_1967,Tb927_05_v5.1,575755,577017,.,1263,0.559,-2.042,6.346,9.538,130.006,131.186,70.44,Tb927.5.1650,Tb927.5.1650,+
1967,NA_peak_1968,Tb927_05_v5.1,584155,584703,.,549,-0.272,-2.967,3.329,0.892,13.399,13.636,9.089,Tb927.5.1670,Tb927.5.1670,+
1968,NA_peak_1969,Tb927_05_v5.1,585365,585980,.,616,-0.903,0.132,5.288,4.466,8.366,76.137,68.6,Tb927.5.1680,Tb927.5.1680,+
1969,NA_peak_1970,Tb927_05_v5.1,587651,588504,.,854,-2.286,-4.171,5.812,1.133,43.518,42.914,142.935,Tb927.5.1680,Tb927.5.1680,+
1970,NA_peak_1971,Tb927_05_v5.1,588592,589859,.,1268,0.296,-3.717,5.129,2.2,70.554,42.955,49.753,Tb927.5.1680,Tb927.5.1680,+
1971,NA_peak_1972,Tb927_05_v5.1,593681,595016,.,1336,0.64,2.364,5.79,23.812,8.178,88.908,100.543,Tb927.5.1690,Tb927.5.1690,+
1972,NA_peak_1973,Tb927_05_v5.1,595259,595797,.,539,1.309,3.044,5.729,21.753,8.155,52.396,30.224,Tb927.5.1700,Tb927.5.1700,+
1973,NA_peak_1974,Tb927_05_v5.1,598418,599397,.,980,0.373,-1.168,5.312,1.167,25.62,92.305,60.665,Tb927.5.1710,Tb927.5.1710,+
1974,NA_peak_1975,Tb927_05_v5.1,602976,605026,.,2051,0.627,0.621,8.168,64.779,123.808,732.981,306.969,Tb927.5.1730,Tb927.5.1730,+
1975,NA_peak_1976,Tb927_05_v5.1,607162,608205,.,1044,0.945,-1.314,7.345,13.797,66.625,464.958,238.153,Tb927.5.1760,Tb927.5.1760,+
1976,NA_peak_1977,Tb927_05_v5.1,608890,610349,.,1460,-0.49,-2.737,6.02,6.665,117.502,79.045,104.024,Tb927.5.1760,Tb927.5.1760,+
1977,NA_peak_1978,Tb927_05_v5.1,613689,614241,.,553,0.831,-4.617,4.907,1.2,51.258,54.923,31.047,Tb927.5.1780,Tb927.5.1780,+
1978,NA_peak_1979,Tb927_05_v5.1,615677,616626,.,950,0.811,-2.616,5.734,7.599,156.454,46.168,34.095,Tb927.5.1790,Tb927.5.1790,+
1979,NA_peak_1980,Tb927_05_v5.1,616723,618976,.,2254,-0.24,-1.172,8.126,38.428,241.653,395.047,490.661,Tb927.5.1790,Tb927.5.1790,+
1980,NA_peak_1981,Tb927_05_v5.1,621952,623107,.,1156,-1.165,0.376,6.637,32.458,85.74,69.511,211.247,Tb927.5.1830,Tb927.5.1830,+
1981,NA_peak_1982,Tb927_05_v5.1,624835,626117,.,1283,-0.459,0.206,5.79,26.282,62.432,78.595,78.879,Tb927.5.1830,Tb927.5.1830,+
1982,NA_peak_1983,Tb927_05_v5.1,626673,627250,.,578,-0.466,0.657,4.945,15.92,25.554,43.087,43.966,Tb927.5.1850,Tb927.5.1850,+
1983,NA_peak_1984,Tb927_05_v5.1,627571,628615,.,1045,0.357,-5.213,6.032,0.427,55.148,106.281,101.849,Tb927.5.1850,Tb927.5.1850,+
1984,NA_peak_1985,Tb927_05_v5.1,631294,632550,.,1257,1.028,-5.321,6.661,0.427,62.723,125.973,123.53,Tb927.5.1850,Tb927.5.1850,+
1985,NA_peak_1986,Tb927_05_v5.1,634199,635319,.,1121,0.62,-2.889,8.21,4.399,143.222,628.619,334.777,Tb927.5.1850,Tb927.5.1850,+
1986,NA_peak_1987,Tb927_05_v5.1,638092,638891,.,800,-0.788,7.362,7.266,358.998,4.953,2.769,5.621,Tb927.5.1870,Tb927.5.1870,+
1987,NA_peak_1988,Tb927_05_v5.1,641578,642967,.,1390,0.519,-0.564,5.28,1.6,9.698,109.603,45.589,Tb927.5.1890,Tb927.5.1890,+
1988,NA_peak_1989,Tb927_05_v5.1,648445,649412,.,968,1.436,4.624,5.503,78.732,7.083,21.406,12.102,Tb927.5.1900,Tb927.5.1900,+
1989,NA_peak_1990,Tb927_05_v5.1,649800,650653,.,854,1.018,1.031,3.944,7.361,11.696,24.944,10.063,Tb927.5.1910,Tb927.5.1910,+
1990,NA_peak_1991,Tb927_05_v5.1,654415,655966,.,1552,0.872,0.404,6.416,38.832,59.874,179.927,79.637,Tb927.5.1920,Tb927.5.1920,+
1991,NA_peak_1992,Tb927_05_v5.1,656536,658012,.,1477,-1.704,-1.761,6.196,20.587,150.023,34.989,117.549,Tb927.5.1940,Tb927.5.1940,+
1992,NA_peak_1993,Tb927_05_v5.1,662364,662836,.,473,2.832,2.102,3.42,5.078,2.539,27.444,3.513,Tb927.5.1950,Tb927.5.1950,+
1993,NA_peak_1994,Tb927_05_v5.1,663020,665221,.,2202,0.612,1.308,6.945,134.637,109.488,115.641,87.536,Tb927.5.1960,Tb927.5.1960,+
1994,NA_peak_1995,Tb927_05_v5.1,673448,674752,.,1305,-0.798,6.066,9.117,1168.842,46.033,1.315,2.643,Tb927.5.1990,Tb927.5.1990,+
1995,NA_peak_1996,Tb927_05_v5.1,676048,676939,.,892,-2.775,4.749,5.028,30.743,1.831,17.027,11.041,Tb927.5.2000,Tb927.5.2000,+
1996,NA_peak_1997,Tb927_05_v5.1,681728,682885,.,1158,-0.274,-7.144,4.505,0.213,85.24,4.672,4.149,Tb927.5.2000,Tb927.5.2000,+
1997,NA_peak_1998,Tb927_05_v5.1,684184,685147,.,964,1.271,5.797,5.524,83.513,4.424,13.365,4.04,Tb927.5.2010,Tb927.5.2010,+
1998,NA_peak_1999,Tb927_05_v5.1,685219,686401,.,1183,1.643,6.482,6.859,226.247,5.119,28.413,12.227,Tb927.5.2010,Tb927.5.2010,+
1999,NA_peak_2000,Tb927_05_v5.1,687304,687823,.,520,0.122,0.706,3.528,4.392,6.273,20.661,16.964,Tb5.NT.46,Tb5.NT.46,+
2000,NA_peak_2001,Tb927_05_v5.1,689796,690340,.,545,0.095,0.468,3.565,3.157,6.636,20.211,18.77,Tb927.5.2020,Tb927.5.2020,-
2001,NA_peak_2002,Tb927_05_v5.1,695452,697283,.,1832,0.115,-1.987,8.217,99.159,564.345,454.679,293.588,Tb927.5.2020,Tb927.5.2020,-
2002,NA_peak_2003,Tb927_05_v5.1,702371,703502,.,1132,-2.158,-2.56,5.002,5.601,88.32,11.042,53.534,Tb927.5.2030,Tb927.5.2030,-
2003,NA_peak_2004,Tb927_05_v5.1,705441,706643,.,1203,-0.723,1.93,6.22,102.384,46.219,45.587,57.455,Tb927.5.2040,Tb927.5.2040,-
2004,NA_peak_2005,Tb927_05_v5.1,710041,710445,.,405,-0.806,5.507,4.784,45.553,0.986,14.206,38.304,Tb927.5.2070,Tb927.5.2070,-
2005,NA_peak_2006,Tb927_05_v5.1,710721,712613,.,1893,0.336,1.112,8.135,274.763,324.18,226.708,125.203,Tb927.5.2070,Tb927.5.2070,-
2006,NA_peak_2007,Tb927_05_v5.1,715724,716964,.,1241,0.104,0.431,7.578,79.67,115.059,225.748,351.519,Tb927.5.2090,Tb927.5.2090,-
2007,NA_peak_2008,Tb927_05_v5.1,723513,725130,.,1618,1.077,4.363,9.599,633.314,55.356,1443.194,685.146,Tb927.5.2120,Tb927.5.2120,-
2008,NA_peak_2009,Tb927_05_v5.1,729377,731002,.,1626,1.702,-1.086,8.1,101.355,477.735,450.272,166.132,Tb927.5.2130,Tb927.5.2130,-
2009,NA_peak_2010,Tb927_05_v5.1,732736,733098,.,363,-1.806,-1.937,4.684,1.921,18.951,11.752,79.264,Tb927.5.2140,Tb927.5.2140,-
2010,NA_peak_2011,Tb927_05_v5.1,735065,735885,.,821,-0.647,4.422,6.146,4.529,0.365,164.786,164.323,Tb927.5.2140,Tb927.5.2140,-
2011,NA_peak_2012,Tb927_05_v5.1,739460,740592,.,1133,0.482,-1.731,6.382,17.636,139.348,121.466,87.127,Tb927.5.2150,Tb927.5.2150,-
2012,NA_peak_2013,Tb927_05_v5.1,740822,741371,.,550,0.194,-1.421,5.228,12.131,74.148,44.229,35.959,Tb927.5.2150,Tb927.5.2150,-
2013,NA_peak_2014,Tb927_05_v5.1,741812,742254,.,443,-0.112,-3.41,4.976,2.4,58.769,41.842,43.245,Tb927.5.2150,Tb927.5.2150,-
2014,NA_peak_2015,Tb927_05_v5.1,742853,743775,.,923,0.017,-2.946,5.58,6.107,108.715,57.691,56.211,Tb927.5.2160,Tb927.5.2160,+
2015,NA_peak_2016,Tb927_05_v5.1,746729,747527,.,799,0.669,-4.114,4.947,0.823,57.854,43.991,37.273,Tb927.5.2160,Tb927.5.2160,+
2016,NA_peak_2017,Tb927_05_v5.1,747573,748662,.,1090,0.084,-1.309,5.391,12.626,81.158,37.523,40.05,Tb927.5.2160,Tb927.5.2160,+
2017,NA_peak_2018,Tb927_05_v5.1,749182,749829,.,648,-0.438,-2.872,5.285,7.754,137.308,15.262,18.07,Tb927.5.2170,Tb927.5.2170,+
2018,NA_peak_2019,Tb927_05_v5.1,749900,750913,.,1014,-0.885,-3.607,5.928,8.578,244.4,13.294,17.096,Tb927.5.2170,Tb927.5.2170,+
2019,NA_peak_2020,Tb927_05_v5.1,753331,755110,.,1780,-0.93,-3.386,7.013,21.89,505.24,27.588,42.704,Tb927.5.2200,Tb927.5.2200,+
2020,NA_peak_2021,Tb927_05_v5.1,757523,759301,.,1779,-0.834,-3.273,7.03,22.645,505.906,31.841,40.864,Tb927.5.2230,Tb927.5.2230,+
2021,NA_peak_2022,Tb927_05_v5.1,761631,763490,.,1860,-0.461,-0.578,6.519,68.073,200.9,40.953,56.59,Tb927.5.2260,Tb927.5.2260,+
2022,NA_peak_2023,Tb927_05_v5.1,767581,768775,.,1195,2.552,-5.022,3.118,0.64,7.046,2.457,1.146,Tb927.5.2290,Tb927.5.2290,+
2023,NA_peak_2024,Tb927_05_v5.1,769305,770031,.,727,0.136,-3.036,2.726,0.549,9.073,10.041,6.168,Tb927.5.2290,Tb927.5.2290,+
2024,NA_peak_2025,Tb927_05_v5.1,771754,772649,.,896,0.638,-0.815,4.273,5.532,16.83,18.481,24.392,Tb927.5.2290,Tb927.5.2290,+
2025,NA_peak_2026,Tb927_05_v5.1,777990,778681,.,692,-0.687,0.27,3.847,10.293,12.819,14.151,11.145,Tb927.5.2310,Tb927.5.2310,+
2026,NA_peak_2027,Tb927_05_v5.1,779408,781360,.,1953,-0.524,-1.074,6.099,19.47,86.999,86.052,111.737,Tb927.5.2310,Tb927.5.2310,+
2027,NA_peak_2028,Tb927_05_v5.1,782603,783268,.,666,1.671,-1.743,3.528,0.8,22.087,20.921,10.633,Tb927.5.2320,Tb927.5.2320,+
2028,NA_peak_2029,Tb927_05_v5.1,785761,786311,.,551,2.637,4.746,3.326,15.509,1.783,11.042,2.673,Tb927.5.2325,Tb927.5.2325,+
2029,NA_peak_2030,Tb927_05_v5.1,786603,788109,.,1507,-3.597,0.437,4.251,18.883,28.594,1.001,6.672,Tb927.5.2330,Tb927.5.2330,+
2030,NA_peak_2031,Tb927_05_v5.1,789370,789895,.,526,2.051,-1.225,2.628,1.304,6.133,8.825,2.944,Tb927.5.2330,Tb927.5.2330,+
2031,NA_peak_2032,Tb927_05_v5.1,793195,794145,.,951,-0.797,-2.434,4.531,1.174,26.596,31.078,22.218,Tb927.5.2330,Tb927.5.2330,+
2032,NA_peak_2033,Tb927_05_v5.1,794374,795822,.,1449,-0.441,-5.671,6.959,0.96,152.126,87.212,192.823,Tb927.5.2330,Tb927.5.2330,+
2033,NA_peak_2034,Tb927_05_v5.1,799516,800153,.,638,0.004,-6.524,4.411,0.4,52.484,4.534,7.899,Tb927.5.2330,Tb927.5.2330,+
2034,NA_peak_2035,Tb927_05_v5.1,802081,802737,.,657,0.501,-0.975,5.429,0.667,0.73,91.538,61.819,Tb927.5.2340,Tb927.5.2340,+
2035,NA_peak_2036,Tb927_05_v5.1,804649,807620,.,2972,-0.96,-3.932,7.816,9.127,226.461,206.696,563.661,Tb927.5.2350,Tb927.5.2350,+
2036,NA_peak_2037,Tb927_05_v5.1,812885,813599,.,715,1.35,-4.183,3.83,0.32,11.792,10.292,3.078,Tb927.5.2370,Tb927.5.2370,+
2037,NA_peak_2038,Tb927_05_v5.1,813750,814395,.,646,2.289,-3.561,3.672,0.267,6.9,28.794,12.624,Tb927.5.2380,Tb927.5.2380,+
2038,NA_peak_2039,Tb927_05_v5.1,815470,816157,.,688,0.423,-4.408,4.943,2.402,114.958,7.006,8.231,Tb927.5.2390,Tb927.5.2390,+
2039,NA_peak_2040,Tb927_05_v5.1,817461,818849,.,1389,0.285,0.679,5.736,35.889,36.752,83.814,71.846,Tb927.5.2390,Tb927.5.2390,+
2040,NA_peak_2041,Tb927_05_v5.1,819358,820397,.,1040,0.509,-6.84,7.473,1.029,321.638,288.907,196.026,Tb927.5.2400,Tb927.5.2400,+
2041,NA_peak_2042,Tb927_05_v5.1,828927,830764,.,1838,1.268,4.887,7.841,470.683,39.883,72.123,38.448,Tb927.5.2410,Tb927.5.2410,+
2042,NA_peak_2043,Tb927_05_v5.1,834621,835696,.,1076,0.39,-2.499,5.193,4.694,73.586,38.242,43.589,Tb927.5.2430,Tb927.5.2430,+
2043,NA_peak_2044,Tb927_05_v5.1,839081,840916,.,1836,-0.88,-6.767,7.566,3.568,728.559,65.928,136.551,Tb927.5.2440,Tb927.5.2440,+
2044,NA_peak_2045,Tb927_05_v5.1,843622,844326,.,705,-0.907,-4.966,4.871,2.059,114.125,6.195,10.423,Tb927.5.2450,Tb927.5.2450,+
2045,NA_peak_2046,Tb927_05_v5.1,847360,849410,.,2051,0.519,0.679,5.748,48.653,57.312,43.675,46.203,Tb927.5.2460,Tb927.5.2460,+
2046,NA_peak_2047,Tb927_05_v5.1,852880,854877,.,1998,0.002,0.442,6.509,5.902,8.551,202.515,139.814,Tb927.5.2480,Tb927.5.2480,+
2047,NA_peak_2048,Tb927_05_v5.1,858251,859124,.,874,-0.411,-0.52,7.347,9.228,31.299,323.446,284.768,Tb927.5.2490,Tb927.5.2490,+
2048,NA_peak_2049,Tb927_05_v5.1,863545,864172,.,628,1.686,0.262,4.558,13.724,21.795,42.919,18.068,Tb927.5.2500,Tb927.5.2500,+
2049,NA_peak_2050,Tb927_05_v5.1,867145,868315,.,1171,0.682,-0.656,5.86,14.96,63.159,57.63,66.22,Tb927.5.2510,Tb927.5.2510,+
2050,NA_peak_2051,Tb927_05_v5.1,868466,869555,.,1090,-0.478,-6.321,7.64,1.0,316.155,317.355,403.313,Tb927.5.2510,Tb927.5.2510,+
2051,NA_peak_2052,Tb927_05_v5.1,870069,871192,.,1124,-3.523,-6.068,5.761,1.666,193.702,7.147,5.013,Tb927.5.2520,Tb927.5.2520,+
2052,NA_peak_2053,Tb927_05_v5.1,873389,874637,.,1249,0.979,-2.074,5.942,4.799,37.539,136.563,95.218,Tb927.5.2530,Tb927.5.2530,+
2053,NA_peak_2054,Tb927_05_v5.1,876115,877434,.,1320,1.809,-5.276,6.388,4.666,319.193,49.03,15.86,Tb927.5.2530,Tb927.5.2530,+
2054,NA_peak_2055,Tb927_05_v5.1,877730,878049,.,320,-0.442,7.385,4.409,31.471,0.396,22.657,38.881,Tb927.5.2530,Tb927.5.2530,+
2055,NA_peak_2056,Tb927_05_v5.1,878848,879865,.,1018,1.004,0.606,4.827,10.774,11.06,59.115,38.412,Tb927.5.2540,Tb927.5.2540,+
2056,NA_peak_2057,Tb927_05_v5.1,889253,892349,.,3097,-0.014,0.41,9.217,387.921,604.796,813.242,761.809,Tb927.5.2600,Tb927.5.2600,+
2057,NA_peak_2058,Tb927_05_v5.1,899943,901533,.,1591,1.712,5.916,4.872,40.556,1.29,27.306,4.869,Tb927.5.2620,Tb927.5.2620,+
2058,NA_peak_2059,Tb927_05_v5.1,905482,906283,.,802,0.433,-1.313,4.161,5.921,29.353,23.956,10.135,Tb927.5.2650,Tb927.5.2650,+
2059,NA_peak_2060,Tb927_05_v5.1,908046,910973,.,2928,0.51,-0.264,7.188,44.742,141.01,251.116,173.881,Tb927.5.2660,Tb927.5.2660,+
2060,NA_peak_2061,Tb927_05_v5.1,913331,914663,.,1333,1.007,0.787,5.909,33.282,36.034,106.731,65.211,Tb927.5.2690,Tb927.5.2690,+
2061,NA_peak_2062,Tb927_05_v5.1,921836,923899,.,2064,-0.095,-0.572,7.961,36.507,121.28,436.049,455.315,Tb927.5.2730,Tb927.5.2730,+
2062,NA_peak_2063,Tb927_05_v5.1,928503,929620,.,1118,0.477,-0.893,6.994,0.755,122.996,181.36,55.374,Tb927.5.2760,Tb927.5.2760,+
2063,NA_peak_2064,Tb927_05_v5.1,932994,933998,.,1005,-0.536,1.447,6.568,44.258,43.994,159.203,87.355,Tb927.5.2770,Tb927.5.2770,-
2064,NA_peak_2065,Tb927_05_v5.1,936120,937404,.,1285,1.635,-4.134,7.143,10.508,325.508,229.831,79.532,Tb927.5.2780,Tb927.5.2780,-
2065,NA_peak_2066,Tb927_05_v5.1,937806,939032,.,1227,0.329,0.372,6.534,20.587,38.25,153.729,159.493,Tb927.5.2780,Tb927.5.2780,-
2066,NA_peak_2067,Tb927_05_v5.1,943129,943501,.,373,0.177,2.761,6.107,145.273,18.73,15.504,21.28,Tb927.5.2800,Tb927.5.2800,-
2067,NA_peak_2068,Tb927_05_v5.1,943879,944257,.,379,0.241,-1.843,4.665,2.814,35.596,37.308,23.89,Tb927.5.2800,Tb927.5.2800,-
2068,NA_peak_2069,Tb927_05_v5.1,948232,949541,.,1310,-0.272,-6.32,8.145,1.372,378.961,525.772,461.708,Tb927.5.2820,Tb927.5.2820,-
2069,NA_peak_2070,Tb927_05_v5.1,949877,950843,.,967,3.958,-4.144,6.117,1.372,75.672,141.407,10.573,Tb927.5.2820,Tb927.5.2820,-
2070,NA_peak_2071,Tb927_05_v5.1,955403,957405,.,2003,-0.951,1.698,7.331,232.904,117.83,66.378,172.623,Tb927.5.2850,Tb927.5.2850,-
2071,NA_peak_2072,Tb927_05_v5.1,958787,960235,.,1449,-0.833,-3.281,6.41,4.854,64.611,99.844,237.359,Tb927.5.2870,Tb927.5.2870,-
2072,NA_peak_2073,Tb927_05_v5.1,960760,962598,.,1839,0.199,-4.991,7.156,1.578,90.693,362.019,245.619,Tb927.5.2870,Tb927.5.2870,-
2073,NA_peak_2074,Tb927_05_v5.1,962778,964051,.,1274,-1.109,-3.486,6.43,3.133,91.161,100.951,184.629,Tb927.5.2880,Tb927.5.2880,-
2074,NA_peak_2075,Tb927_05_v5.1,969931,970503,.,573,-1.332,-0.921,3.554,1.866,5.951,18.965,22.94,Tb927.5.2890.2,Tb927.5.2890.2,-
2075,NA_peak_2076,Tb927_05_v5.1,973598,976417,.,2820,1.55,-0.275,7.685,41.722,108.918,417.406,260.447,Tb927.5.2900,Tb927.5.2900,-
2076,NA_peak_2077,Tb927_05_v5.1,977577,978792,.,1216,-0.899,-5.065,6.443,6.665,391.186,11.109,23.516,Tb927.5.2910,Tb927.5.2910,+
2077,NA_peak_2078,Tb927_05_v5.1,979289,980449,.,1161,-1.018,-3.607,6.661,14.295,262.714,84.34,153.413,Tb927.5.2910,Tb927.5.2910,+
2078,NA_peak_2079,Tb927_05_v5.1,981262,982035,.,774,0.877,3.859,6.025,122.738,13.402,30.125,30.548,Tb927.5.2920,Tb927.5.2920,+
2079,NA_peak_2080,Tb927_05_v5.1,983716,984028,.,313,-0.795,0.021,3.841,3.911,10.664,6.361,33.254,Tb927.5.2930,Tb927.5.2930,+
2080,NA_peak_2081,Tb927_05_v5.1,986989,987899,.,911,4.022,2.027,6.765,203.122,140.415,1.647,0.289,Tb927.5.2950,Tb927.5.2950,+
2081,NA_peak_2082,Tb927_05_v5.1,991395,992655,.,1261,0.638,-1.637,5.866,11.864,82.743,120.263,32.927,Tb927.5.2970,Tb927.5.2970,+
2082,NA_peak_2083,Tb927_05_v5.1,994549,995802,.,1254,-0.199,-5.536,8.099,2.72,277.244,484.131,472.555,Tb927.5.2980,Tb927.5.2980,+
2083,NA_peak_2084,Tb927_05_v5.1,1002585,1003845,.,1261,2.476,1.601,5.156,22.92,15.4,83.168,25.378,Tb927.5.3010,Tb927.5.3010,+
2084,NA_peak_2085,Tb927_05_v5.1,1008029,1008868,.,840,2.405,-2.245,3.992,0.373,8.287,55.462,11.758,Tb927.5.3030,Tb927.5.3030,+
2085,NA_peak_2086,Tb927_05_v5.1,1011943,1013164,.,1222,0.662,-5.671,6.334,1.167,324.937,26.406,21.568,Tb927.5.3050,Tb927.5.3050,+
2086,NA_peak_2087,Tb927_05_v5.1,1015148,1016111,.,964,2.526,-1.196,4.491,3.706,16.757,39.834,11.181,Tb927.5.3060,Tb927.5.3060,+
2087,NA_peak_2088,Tb927_05_v5.1,1016996,1017452,.,457,1.215,0.828,4.009,1.716,2.994,46.528,16.266,Tb927.5.3070,Tb927.5.3070,+
2088,NA_peak_2089,Tb927_05_v5.1,1019479,1020691,.,1213,1.299,0.659,5.738,36.592,45.659,111.425,42.307,Tb927.5.3080,Tb927.5.3080,+
2089,NA_peak_2090,Tb927_05_v5.1,1021536,1022693,.,1158,0.434,3.258,7.314,12.749,5.712,451.967,261.113,Tb927.5.3100,Tb927.5.3100,-
2090,NA_peak_2091,Tb927_05_v5.1,1025191,1026028,.,838,-2.935,7.043,6.233,231.874,3.455,2.007,23.877,Tb927.5.3100,Tb927.5.3100,-
2091,NA_peak_2092,Tb927_05_v5.1,1026204,1027448,.,1245,-0.296,6.992,6.126,137.834,2.938,16.058,27.972,Tb927.5.3110,Tb927.5.3110,-
2092,NA_peak_2093,Tb927_05_v5.1,1033481,1035634,.,2154,0.723,0.14,7.984,88.934,161.908,625.193,89.058,Tb927.5.3140,Tb927.5.3140,-
2093,NA_peak_2094,Tb927_05_v5.1,1036325,1037749,.,1425,1.296,-7.019,7.41,1.029,299.616,343.067,156.351,Tb927.5.3150,Tb927.5.3150,-
2094,NA_peak_2095,Tb927_05_v5.1,1040633,1041613,.,981,2.504,6.103,6.927,269.274,6.077,105.38,29.745,Tb927.5.3150,Tb927.5.3150,-
